meter_reading;primary_use;square_feet;year_built;floor_count;air_temperature;cloud_coverage;dew_temperature;precip_depth_1_hr;sea_level_pressure;wind_direction;wind_speed
237.7491275;Education;7432;2008;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
118.5537431;Education;2720;2004;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
23.62649987;Education;5376;1991;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
382.7360162;Education;23685;2002;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1579.174237;Education;116607;1975;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
28.9634806;Education;8000;2000;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
104.0800949;Lodging/residential;27926;1981;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
569.2444171;Education;121074;1989;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
417.3948273;Education;60809;2003;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
118.1295157;Office;27000;2010;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1593.610509;Entertainment/public assembly;370773;1991;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
475.0067358;Education;49073;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
228.8978312;Lodging/residential;37100;1999;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
370.4142774;Education;99380;2000;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
421.6378842;Education;86250;2013;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
267.9034395;Office;83957;1974;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1297.286051;Education;54644;1996;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
105.2772775;Office;15250;1980;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
2027.562798;Education;111891;1996;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
205.3104868;Office;18717;2004;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
515.9860991;Education;110272;1977;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
76.81383774;Office;7043;1990;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
29.94965815;Education;3569;1996;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
885.0754618;Education;130885;1985;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
889.027388;Education;105545;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
358.1780082;Office;103286;1969;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
163.2256197;Office;26953;2005;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
277.3295747;Lodging/residential;59200;1999;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
248.2471406;Office;52957;2016;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1006.366282;Education;113866;2006;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
525.7274738;Education;93897;1999;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
459.930351;Education;61904;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
335.7960744;Office;48392;2005;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
510.5040405;Lodging/residential;38686;2002;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
299.2210544;Lodging/residential;42731;2002;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
242.0910392;Lodging/residential;41617;2002;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
149.4370279;Lodging/residential;53130;2002;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
207.9487078;Lodging/residential;53130;2002;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
489.5116304;Office;12769;2013;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
334.8848245;Office;64619;1969;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
267.8819666;Entertainment/public assembly;26944;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
207.9426564;Office;93860;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1267.015347;Other;226506;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
108.5239404;Retail;59071;1980;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
11.65382149;Retail;283;1985;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
3.278109781;Retail;15304;2016;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
15.85080259;Retail;9045;2016;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
444.193726;Retail;31666;2008;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
96.54480432;Other;9569;1989;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
178.1653203;Lodging/residential;24456;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
45.6010066;Other;4698;1981;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
91.89265112;Parking;387638;2014;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
417.0154873;Education;106523;1970;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
687.1972373;Office;87742;1971;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
523.2990696;Education;7867;2011;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
115.72618;Office;16726;2011;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
235.1326275;Lodging/residential;60088;2013;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
363.3280629;Lodging/residential;65359;2013;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
383.2816392;Lodging/residential;83379;2013;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
175.1936929;Entertainment/public assembly;81337;2005;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
831.6064339;Education;81576;1997;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
259.9329619;Lodging/residential;38686;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
526.2322565;Lodging/residential;42731;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
228.933112;Lodging/residential;41617;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
159.7831043;Lodging/residential;53130;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
174.2414163;Lodging/residential;53130;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
163.7562448;Lodging/residential;37241;1981;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
189.6758947;Lodging/residential;24456;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
142.7632699;Parking;487433;2007;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
104.6703809;Parking;387638;2000;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
50.14009591;Parking;387638;2007;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
140.9129472;Parking;387638;1998;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
150.7855996;Parking;387638;2002;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
39.35855014;Parking;387638;2008;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
128.057902;Parking;387638;1997;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
283.6041725;Education;80942;2010;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1637.953548;Education;128887;2009;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
171.1857832;Lodging/residential;24456;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
317.1157515;Education;76257;2007;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
603.8301171;Office;36240;2010;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1654.753965;Office;156111;2001;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
15.0396658;Other;3025;1979;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
53.92828746;Office;10743;1974;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
5.443941764;Other;2070;1996;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
26.65261496;Office;4038;1986;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
147.9798772;Lodging/residential;37241;1981;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
87.03160901;Education;10932;1986;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
97.15157337;Entertainment/public assembly;6412;2006;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
842.8583797;Entertainment/public assembly;76527;2007;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
1457.099161;Retail;161755;1996;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
342.3863749;Lodging/residential;59200;1999;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
431.3437613;Education;68094;2003;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
80.57100505;Office;10779;1970;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
165.6919476;Office;33370;1982;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
78.10347604;Education;29469;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
608.3385582;Lodging/residential;200933;2006;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
488.5905804;Lodging/residential;200933;2006;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
443.8149714;Lodging/residential;187647;2007;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
569.719747;Lodging/residential;200933;2007;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
17.9027557;Office;2260;2016;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
160.5707726;Lodging/residential;24456;1968;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
99.44207987;Office;18860;1986;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
130.2147969;Office;15876;1983;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
84.4455054;Education;21657;2016;;22.74481579;2.99872748;17.37932778;1.240589198;1017.949437;152.521015;3.391472131
